,forks_count,language,stargazers,topics,url,watchers_count
902,6,Python,81,"['chatbot', 'data-science', 'kino', 'machine-learning', 'personal-assistant', 'quantified-self', 'slack-bot']",https://api.github.com/repos/DongjunLee/kino-bot,81
903,61,Jupyter Notebook,81,"['course-materials', 'machine-learning']",https://api.github.com/repos/davidrosenberg/mlcourse,81
904,16,Python,81,"['examples', 'machine-learning', 'plugin', 'tensorflow', 'unrealengine']",https://api.github.com/repos/getnamo/tensorflow-ue4-examples,81
905,24,Python,81,"['deep-learning', 'keras', 'machine-learning']",https://api.github.com/repos/yuyang-huang/keras-inception-resnet-v2,81
906,26,Python,81,"['artificial-intelligence', 'artificial-neural-networks', 'deep-learning', 'machine-learning', 'manual-gradient', 'neural-network', 'python']",https://api.github.com/repos/l11x0m7/lightnn,81
907,27,Python,80,"['bitcoin', 'bitflyer', 'machine-learning', 'python3', 'trading-bot']",https://api.github.com/repos/Connie-Wild/ChannelBreakoutBot,80
908,40,Matlab,79,"['deep-learning', 'machine-learning', 'neural-network']",https://api.github.com/repos/khanhnamle1994/neural-nets,79
909,17,Python,79,"['email', 'machine-learning', 'python', 'spam-filtering']",https://api.github.com/repos/tasdikrahman/spammy,79
910,29,C++,79,"['cnn', 'computer-vision', 'hand-pose-estimation', 'hand-tracking', 'machine-learning', 'physics-engine']",https://api.github.com/repos/IntelRealSense/hand_tracking_samples,79
911,5,TeX,79,"['artificial-intelligence', 'deep-learning', 'machine-learning']",https://api.github.com/repos/Latently/DeepLearningCertificate,79
912,14,Python,79,"['bioinformatics', 'biology', 'computational-biology', 'deep-learning', 'epidemiology', 'imputation', 'machine-learning', 'neural-networks']",https://api.github.com/repos/jisungk/RIDDLE,79
913,36,Jupyter Notebook,79,"['cancer-imaging-research', 'deep-learning', 'machine-learning']",https://api.github.com/repos/lishen/end2end-all-conv,79
914,96,Scala,79,"['cilib', 'computational-intelligence', 'functional-programming', 'machine-learning', 'optimization-algorithms', 'scala']",https://api.github.com/repos/cirg-up/cilib,79
915,15,Python,78,"['active-learning', 'interactive-machine-learning', 'intrusion-detection', 'machine-learning', 'rare-category-detection']",https://api.github.com/repos/ANSSI-FR/SecuML,78
916,7,Python,78,"['deep-learning', 'experiments', 'logging', 'machine-learning', 'optimization', 'python', 'pytorch', 'visdom', 'visualization']",https://api.github.com/repos/oval-group/logger,78
917,14,JavaScript,78,"['ai', 'artificial-intelligence', 'bot', 'bot-api', 'bot-framework', 'bots', 'chatbot', 'framework', 'machine-learning', 'messenger-api', 'messenger-bot', 'messenger-chatbots', 'messenger-platform', 'mongolia', 'natural-language-processing', 'nlp', 'nodejs']",https://api.github.com/repos/techstar-cloud/intelligo,78
918,38,Python,78,"['ai', 'applications', 'artificial-intelligence', 'auto-encoders', 'computer-vision', 'convolutional-neural-networks', 'data-science', 'deep-learning', 'image-classification', 'image-finder', 'image-processing', 'image-recognition', 'image-retrieval', 'machine-learning', 'neural-networks', 'object-recognition', 'python', 'recommender-system', 'recommender-systems', 'transfer-learning']",https://api.github.com/repos/ankonzoid/artificio,78
919,14,Python,77,"['discogan', 'generative-adversarial-networks', 'machine-learning', 'neural-networks', 'tensorflow']",https://api.github.com/repos/jmiller656/DiscoGAN-Tensorflow,77
920,76,,77,"['deep-learning', 'machine-learning', 'natural-language-processing', 'nlp', 'oxford']",https://api.github.com/repos/oxford-cs-deepnlp-2017/practical-2,77
921,12,Python,77,"['data-science', 'devops-for-data-science', 'docker', 'docker-compose', 'ipython', 'ipython-notebook', 'jupyter', 'jupyter-notebook', 'jupyter-themes', 'machine-learning', 'machine-learning-api', 'predictive', 'python', 'red10', 'redis', 's3', 'seaborn', 'stock-price-prediction', 'xgb', 'xgboost']",https://api.github.com/repos/jay-johnson/sci-pype,77
922,16,Scala,77,"['approximation', 'big-data', 'coarsing', 'comunity-detection-methods', 'dsl', 'graph', 'graph-algorithms', 'heuristics', 'link-predication', 'machine-learning', 'measure', 'network-analysis', 'spark', 'vertex']",https://api.github.com/repos/sparkling-graph/sparkling-graph,77
923,2,Jupyter Notebook,76,"['generative-adversarial-network', 'generative-audio', 'generative-model', 'generative-music', 'keras', 'machine-learning', 'tensorflow']",https://api.github.com/repos/NarainKrishnamurthy/BeatGAN2.0,76
924,18,Python,76,"['bayesian', 'machine-learning', 'optimization']",https://api.github.com/repos/hawk31/pyGPGO,76
925,32,Java,75,"['bayesian-methods', 'bayesian-networks', 'data-science', 'graphical-models', 'latent-variable-models', 'machine-learning', 'streaming-data']",https://api.github.com/repos/amidst/toolbox,75
926,11,Jupyter Notebook,75,"['data-science', 'machine-learning', 'machine-learning-algorithms', 'modeling']",https://api.github.com/repos/neerjad/MachineLearning,75
927,27,Python,75,"['computer-vision', 'deep-learning', 'east', 'icpr', 'keras', 'machine-learning', 'python', 'scene', 'tensorflow', 'text-detect', 'tian-chi', 'tianchi']",https://api.github.com/repos/huoyijie/AdvancedEAST,75
928,5,,75,"['cocoa', 'coreml', 'coreml-framework', 'ios', 'machine-learning', 'machine-learning-models', 'model']",https://api.github.com/repos/cocoa-ai/ModelZoo,75
929,14,Python,75,"['computer-vision', 'machine-learning', 'video-segmentation']",https://api.github.com/repos/pathak22/videoseg,75
930,15,Python,75,"['deep-neural-networks', 'generative-adversarial-network', 'image-manipulation', 'image-processing', 'machine-learning']",https://api.github.com/repos/tgeorgy/mgan,75
931,27,Jupyter Notebook,75,"['deap', 'deep-learning', 'genetic-algorithm', 'machine-learning', 'tensorflow']",https://api.github.com/repos/aqibsaeed/Genetic-CNN,75
932,18,Jupyter Notebook,75,"['certificate-transparency', 'certstream', 'docker', 'docker-compose', 'jupyter-notebook', 'machine-learning', 'phishing', 'ssl-certificates']",https://api.github.com/repos/wesleyraptor/streamingphish,75
933,5,Jupyter Notebook,75,"['deep-learning', 'deep-neural-networks', 'fine-tuning-cnns', 'machine-learning', 'mxnet']",https://api.github.com/repos/knjcode/mxnet-finetuner,75
934,14,Erlang,75,"['cuda', 'erlang', 'gpu', 'machine-learning']",https://api.github.com/repos/vascokk/NumEr,75
935,47,Jupyter Notebook,75,"['abu', 'abupy', 'machine-learning', 'python']",https://api.github.com/repos/maxmon/abu_ml,75
936,21,C,75,"['arm', 'computer-vision', 'cpp', 'linux', 'machine-learning', 'neon', 'neural-networks', 'python']",https://api.github.com/repos/jevois/jevois,75
937,42,TeX,74,"['analytics', 'big-data', 'data-analysis', 'data-preparation', 'data-science', 'descriptive-statistics', 'learning', 'machine-learning', 'predictive-analysis', 'predictive-modeling', 'statistics', 'visualization']",https://api.github.com/repos/pablo14/data-science-live-book,74
938,14,Scala,74,"['machine-learning', 'models', 'pipelines', 'realtime', 'scikit-learn', 'scoring', 'serverless', 'serving', 'spark', 'tensorflow']",https://api.github.com/repos/Hydrospheredata/hydro-serving,74
939,0,C++,74,['machine-learning'],https://api.github.com/repos/cgoxopx/word2vec,74
940,28,Jupyter Notebook,74,"['deep-learning', 'machine-learning']",https://api.github.com/repos/hschen0712/machine-learning-notes,74
941,12,Scala,74,"['apache-spark', 'elasticsearch', 'feature-engineering', 'machine-learning', 'python', 'recommender-system', 'scala']",https://api.github.com/repos/vinta/albedo,74
942,7,JavaScript,74,"['awesome-list', 'awsome', 'datascience', 'machine-learning', 'r', 'shinyapps', 'statistics']",https://api.github.com/repos/huyingjie/Awesome-shiny-apps-for-statistics,74
943,19,Python,74,"['java', 'machine-learning', 'python27', 'weka']",https://api.github.com/repos/fracpete/python-weka-wrapper,74
944,22,Python,73,"['asr', 'baidu', 'coreml', 'ctc', 'deep-learning', 'deeplearning', 'deepspeech', 'keras', 'machine-learning', 'neural-network', 'neural-networks', 'nn', 'speech', 'speech-to-text', 'speechrecognition']",https://api.github.com/repos/robmsmt/KerasDeepSpeech,73
945,51,Python,73,"['algorithm-competitions', 'data-mining', 'machine-learning', 'python']",https://api.github.com/repos/yaoleiliu/2017-JDD-Global-Data-Explorer-Competition,73
946,12,Python,73,"['deep-learning', 'geodesic', 'geometry', 'gpu-programming', 'lie-groups', 'machine-learning', 'manifold', 'neural-networks', 'riemannian-geometry', 'statistics']",https://api.github.com/repos/geomstats/geomstats,73
