top_repos/magpie, 21, 1265, 196, 0, 190, 129, 11, 51, 25, 0, 21, 1, 0, 0, 4, 0, 0, 0
top_repos/librosa, 66, 25595, 1988, 3468, 7292, 79, 16, 134, 22, 11, 6, 9, 0, 0, 4, 1, 0, 0
top_repos/wger, 314, 38444, 5330, 41, 13097, 124, 12, 46, 8, 8, 1723, 1, 0, 0, 1, 0, 0, 0
top_repos/REST-auth, 1, 104, 9, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
top_repos/line_profiler, 7, 971, 37, 114, 210, 301, 20, 33, 12, 0, 18, 0, 0, 0, 0, 0, 0, 0
top_repos/spark-deep-learning, 64, 7291, 1503, 1370, 2082, 349, 9, 69, 16, 3, 714, 4, 0, 0, 3, 1, 0, 0
top_repos/Pyro4, 214, 23324, 1550, 1215, 7118, 18, 11, 151, 46, 1, 35, 26, 0, 0, 6, 3, 4, 0
top_repos/algorithm-exercise, 9, 486, 31, 3, 0, 26, 0, 0, 2, 0, 6, 0, 0, 0, 8, 0, 0, 0
top_repos/htpwdScan, 15, 1542, 117, 5, 0, 118, 38, 98, 34, 1, 103, 24, 0, 0, 2, 4, 0, 9
top_repos/temporal-segment-networks, 14, 1257, 24, 79, 0, 255, 5, 16, 3, 12, 105, 0, 0, 0, 3, 5, 0, 0
top_repos/PoC, 4, 1044, 75, 0, 0, 0, 65, 187, 16, 1, 69, 1, 0, 6, 19, 0, 0, 0
top_repos/osqa, 277, 40547, 1227, 1716, 281, 6, 988, 2289, 843, 62, 12592, 244, 0, 50, 605, 58, 0, 67
top_repos/dropship, 4, 181, 40, 9, 0, 111, 19, 15, 6, 1, 2, 0, 0, 0, 17, 1, 0, 0
top_repos/grab, 124, 14507, 1529, 1212, 247, 87, 7, 257, 3, 2, 20, 0, 0, 0, 0, 0, 0, 0
top_repos/ydiff, 3, 1805, 113, 243, 849, 145, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
