bottom_repos/django-poll-tutorial, 12, 223, 22, 17, 4, 0, 8, 2, 2, 1, 3, 0, 0, 24, 3, 0, 0, 0
bottom_repos/Algorithmic-Trading---Cryptocurrencies, 6, 523, 83, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bottom_repos/kicad_library, 25, 3278, 375, 135, 0, 73, 149, 814, 76, 0, 335, 27, 0, 150, 10, 0, 0, 8
bottom_repos/pacmAI, 5, 377, 8, 0, 95, 8, 2, 4, 1, 0, 12, 2, 0, 0, 0, 0, 0, 0
bottom_repos/RoboDefense, 15, 2204, 142, 0, 0, 1, 0, 166, 76, 2, 72, 5, 0, 0, 74, 0, 0, 0
bottom_repos/dbrocker, 14, 184, 25, 6, 41, 6, 0, 2, 2, 0, 2, 0, 0, 0, 4, 0, 0, 0
bottom_repos/identify_email_metadata, 14, 807, 17, 83, 289, 0, 9, 12, 12, 0, 53, 2, 0, 0, 11, 1, 0, 0
bottom_repos/Great-Britan, 1, 50, 17, 0, 0, 0, 0, 24, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0
bottom_repos/load_average_monitor_app, 16, 384, 51, 48, 45, 20, 8, 11, 6, 1, 9, 0, 0, 98, 10, 2, 0, 3
bottom_repos/gevpro-week2, 3, 61, 2, 4, 0, 3, 0, 10, 6, 0, 2, 0, 0, 39, 5, 0, 0, 0
bottom_repos/RaspPi_TempandHumiditySenosor, 1, 61, 3, 0, 0, 22, 0, 13, 2, 1, 1, 1, 0, 29, 5, 0, 0, 0
bottom_repos/MyFirstProyect, 17, 262, 31, 17, 8, 4, 15, 13, 18, 1, 1, 1, 0, 22, 6, 2, 0, 0
bottom_repos/twitter, 14, 554, 64, 0, 16, 7, 2, 71, 27, 4, 19, 0, 0, 0, 9, 7, 0, 0
bottom_repos/redsuite, 6, 1601, 156, 503, 0, 8, 27, 210, 20, 17, 133, 1, 0, 119, 90, 3, 0, 7
bottom_repos/pyquantum, 6, 393, 70, 0, 0, 10, 2, 3, 13, 0, 9, 1, 0, 0, 16, 2, 0, 0
bottom_repos/PrivateCloud, 2, 34, 11, 0, 0, 2, 0, 1, 4, 0, 10, 0, 0, 7, 3, 1, 0, 6
bottom_repos/simple-blurring-churning, 2, 542, 33, 234, 0, 1, 9, 311, 23, 0, 33, 3, 0, 0, 3, 0, 0, 0
bottom_repos/PE, 10, 226, 10, 0, 0, 0, 20, 19, 18, 0, 6, 0, 0, 120, 17, 1, 0, 0
bottom_repos/magphysio, 3, 328, 23, 19, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
bottom_repos/oa-zad1, 4, 275, 44, 21, 45, 0, 12, 40, 4, 0, 21, 2, 0, 0, 3, 0, 0, 0
bottom_repos/RadioNL, 1, 108, 11, 0, 0, 2, 0, 51, 3, 2, 2, 34, 0, 0, 1, 0, 0, 0
bottom_repos/conjoint, 1, 42, 4, 16, 0, 2, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0
bottom_repos/wydev, 1090, 577863, 56174, 44865, 15946, 0, 111347, 130151, 7623, 2112, 12707, 2540, 4, 173078, 20065, 325, 0, 1204
bottom_repos/raspi-recorder, 1, 74, 0, 0, 0, 51, 2, 15, 3, 1, 3, 1, 0, 0, 2, 1, 0, 0
bottom_repos/rti-split-scales, 2, 267, 40, 27, 0, 0, 3, 31, 1, 4, 12, 2, 0, 0, 1, 2, 0, 0
bottom_repos/Pushblocks, 1, 341, 21, 0, 0, 3, 23, 54, 20, 0, 0, 1, 0, 0, 72, 1, 0, 0
bottom_repos/em-2014, 7, 192, 12, 0, 0, 2, 0, 7, 13, 2, 2, 2, 0, 0, 0, 0, 0, 0
bottom_repos/GainesvilleUtilityApp, 1, 146, 50, 17, 0, 22, 0, 71, 3, 0, 24, 0, 0, 0, 9, 1, 0, 0
bottom_repos/Data-Wrangling-, 1, 44, 10, 0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0
bottom_repos/spinning-fire, 1, 166, 8, 30, 0, 0, 3, 48, 2, 1, 12, 1, 0, 0, 17, 0, 0, 0
bottom_repos/python-practice, 14, 1365, 465, 165, 0, 1, 386, 3, 19, 0, 3, 5, 0, 0, 17, 0, 0, 4
bottom_repos/Assignment-1, 3, 388, 8, 0, 0, 2, 0, 146, 7, 1, 38, 7, 0, 0, 58, 2, 0, 0
bottom_repos/pandas_datareader_old, 6, 2206, 131, 609, 648, 3, 2, 32, 12, 0, 105, 4, 0, 0, 17, 1, 0, 0
bottom_repos/337_7_newtonsMethod, 3, 131, 20, 2, 0, 6, 13, 45, 6, 0, 1, 6, 0, 13, 11, 1, 0, 0
bottom_repos/walkdo, 4, 188, 10, 21, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bottom_repos/molecular-recipology, 14, 763, 57, 17, 4, 3, 3, 4, 9, 3, 18, 0, 0, 16, 1, 1, 0, 0
bottom_repos/DjangoTutorial, 14, 342, 30, 25, 21, 0, 0, 2, 9, 1, 5, 0, 0, 0, 6, 1, 0, 0
bottom_repos/fifa-ticket-notifier, 1, 60, 8, 0, 0, 2, 0, 36, 0, 0, 7, 0, 0, 0, 10, 1, 0, 0
bottom_repos/machlen, 1, 100, 8, 0, 0, 0, 0, 68, 10, 0, 1, 1, 0, 0, 5, 1, 0, 0
bottom_repos/EyeTracking, 37, 4978, 1159, 0, 0, 17, 60, 456, 82, 0, 830, 6, 0, 152, 78, 7, 0, 8
bottom_repos/IMDB_Utilities, 2, 273, 29, 13, 0, 2, 5, 7, 2, 0, 1, 5, 0, 0, 9, 1, 0, 0
bottom_repos/2dStarmap, 2, 791, 191, 87, 0, 0, 1, 204, 11, 2, 15, 5, 0, 0, 34, 1, 0, 0
bottom_repos/ControlBlockSystemTest, 1, 212, 15, 3, 212, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0
bottom_repos/hold-em, 1, 102, 11, 3, 0, 0, 0, 11, 7, 0, 1, 0, 0, 62, 1, 0, 0, 0
bottom_repos/mp3skull_downloader, 1, 147, 28, 7, 0, 0, 43, 6, 2, 0, 3, 1, 0, 0, 0, 0, 0, 1
bottom_repos/ind, 1, 24, 21, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0
bottom_repos/cpickle, 2, 174, 15, 0, 0, 0, 34, 66, 6, 0, 0, 2, 0, 5, 8, 1, 0, 1
bottom_repos/DWP2, 4, 142, 52, 0, 0, 0, 0, 22, 3, 0, 1, 0, 0, 0, 1, 3, 0, 0
bottom_repos/instaporter, 15, 2347, 443, 649, 363, 29, 2, 202, 55, 16, 261, 2, 0, 0, 0, 0, 0, 0
bottom_repos/cs3130, 6, 38, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0
bottom_repos/lokeshh-stem, 130, 42035, 2624, 10833, 546, 0, 8149, 2217, 10, 8, 2287, 49, 0, 0, 0, 1, 0, 182
bottom_repos/DummyPot, 1, 145, 12, 0, 0, 2, 0, 24, 6, 0, 5, 4, 0, 96, 7, 0, 0, 0
bottom_repos/tutorial, 13, 255, 22, 17, 4, 2, 4, 0, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0
bottom_repos/mysite-mongo, 1480, 275327, 48580, 37680, 23275, 2, 5196, 76801, 1053, 132, 9825, 256, 0, 24, 92, 18, 0, 326
bottom_repos/Analyzing-NYC-Subway-Dataset, 26, 1185, 37, 111, 0, 5, 21, 52, 47, 0, 132, 3, 0, 1, 183, 4, 0, 0
